所在地_市区町村,専有面積(m^2),賃料,徒歩分数(分),賃料（万円）
横浜市中区,34.0,106798.0,9.0,11.0
横浜市保土ヶ谷区,33.0,77743.0,13.0,8.0
横浜市南区,26.0,79330.0,10.0,8.0
横浜市戸塚区,46.0,100895.0,15.0,10.0
横浜市旭区,37.0,78061.0,15.0,8.0
横浜市栄区,42.0,76590.0,16.0,8.0
横浜市港北区,48.0,111604.0,15.0,11.0
横浜市港南区,35.0,78330.0,14.0,8.0
横浜市瀬谷区,39.0,81468.0,19.0,8.0
横浜市磯子区,33.0,79098.0,15.0,8.0
横浜市神奈川区,34.0,90594.0,11.0,9.0
横浜市緑区,47.0,89862.0,17.0,9.0
横浜市西区,28.0,101264.0,10.0,10.0
横浜市都筑区,52.0,109497.0,15.0,11.0
横浜市金沢区,43.0,82668.0,15.0,8.0
横浜市青葉区,56.0,119885.0,14.0,12.0
横浜市鶴見区,29.0,84579.0,11.0,8.0
