物件CD,賃料,管理費,敷金,礼金,保証金,敷引・償却
100343313667,69000,10000,,69000,,
100343314105,69000,10000,,69000,,
100343313391,70000,10000,,70000,,
100343842510,70000,5000,70000,,,
100343709215,70000,5000,70000,,,
100342823375,70000,10000,,70000,,
100339853853,65500,12000,,65500,,
100339856694,65500,12000,,65500,,
100341719751,63500,12000,,,75500,75500
100342503124,63500,12000,,,75500,75500
100342548057,63500,12000,,,75500,75500
100340883623,68000,8000,,68000,,
100342137982,70000,5000,,70000,,
100342028513,70000,5000,,70000,,
100344058269,69000,15000,,69000,,
100316093085,69900,5000,69900,69900,,
100335872435,69900,5000,69900,69900,,
100330020699,69000,15000,69000,69000,,
100330021137,69000,15000,69000,69000,,
100341720649,63500,12000,,,75500,75500
100339757342,68500,8000,,68500,,
100334889538,67000,10000,,,,
100343719318,69000,3000,,,,
100343719127,69000,3000,,,,
100286958022,69500,10000,,69500,,
100343933724,69000,3000,,,,
100342860864,69000,3000,,,,
100330226891,69500,15000,,69500,,
100340635857,69000,15000,,69000,,
100343378337,63000,15000,,63000,,
100343381637,63000,15000,,63000,,
100334790790,67000,10000,,67000,,
100342588678,65500,12000,,65500,,
100342492709,65500,12000,,65500,,
100340567460,68000,15000,,68000,,
100340576797,68000,15000,,68000,,
100340566163,68000,15000,,68000,,
100342378993,67000,3000,,,,
100338779508,69500,10000,,,,
100333063880,69500,10000,,69500,,
100340638991,69000,15000,,69000,,
100340638271,69000,15000,,69000,,
100334826939,67000,10000,,67000,,
100333038440,69500,10000,,69500,,
100344105736,67000,10000,,67000,,
100343669405,69000,3000,,,,
100330151281,69000,15000,69000,69000,,
100333874984,69000,15000,69000,69000,,
100340400410,69000,4000,69000,69000,,
100340422991,69000,4000,69000,69000,,
100339810562,69000,4000,69000,69000,,
100340574999,69000,4000,69000,69000,,
100340636118,69000,15000,,69000,,
100340656492,69000,15000,,69000,,
100297451495,65500,12000,,65500,,
100339817056,67000,10000,,67000,,
100339816681,67000,10000,,67000,,
100339820383,67000,10000,,67000,,
100339752438,65500,12000,,65500,,
100341570048,63500,12000,,,,
100338519720,57000,20000,,57000,,
100339722447,57000,20000,,57000,,
100337573300,69000,3000,,,,
100341023212,64500,20000,,64500,,
100341026900,64500,20000,,64500,,
100342853895,69000,3000,,,,
100342939561,69000,3000,,,,
100341280893,69500,15000,,,,
100340634552,69000,15000,,69000,,
100340636464,69000,15000,,69000,,
100335057256,67000,10000,,,,
100341941019,65500,12000,,65500,,
100340496362,68000,15000,,68000,,
100342209826,68000,15000,,68000,,
100340495199,68000,15000,,68000,,
100341563155,63500,12000,,,63500,
100341599402,63500,12000,,,63500,
100336866760,69500,10000,,,,
100342404978,67000,10000,,67000,,
100343712955,69000,3000,,,,
100343805355,67000,10000,,67000,,
100332153771,69000,10000,,69000,,
100341876573,63500,12000,,,63500,63500
100333193194,69500,10000,,69500,,
100340636757,69000,15000,,69000,,
100334831935,67000,10000,,67000,,
100334862908,67000,10000,,67000,,
100339811321,69000,4000,69000,69000,,
100335055407,67000,10000,,67000,,
100334900526,67000,10000,,67000,,
100342891991,69000,3000,,,,
100339758344,63500,12000,,,63500,
100337207742,69500,10000,,69500,,
100335372206,67000,10000,,,,
100342569490,67000,10000,,67000,,
100339066719,69000,10000,,69000,,
100343083412,69000,10000,,69000,,
100336530692,69000,10000,,69000,,
100341277604,69000,10000,,69000,,
100333151536,69500,10000,,69500,,
100342297202,69500,10000,,69500,,
100333156265,69500,10000,,69500,,
